,question,Summary,answer
671,An index signature parameter type cannot be a union type. Consider using a mapped object type instead,"I'm trying to use the following pattern: enum Option { ONE = 'one', TWO = 'two', THREE = 'three' } interface OptionRequirement { someBool: boolean; someString: string; } interface ...","Type of key can only be string, number or symbol. enum is not."
672,Can't perform a React state update on an unmounted component,"Problem I am writing an application in React and was unable to avoid a super common pitfall, which is calling setState(...) after componentWillUnmount(...). I looked very carefully at my code and ...",Does the problem persist if you comment out the add & remove listeners?
673,How can I loop through enum values for display in radio buttons? [duplicate],"What is the proper way to loop through literals of an enum in TypeScript? (I am currently using TypeScript 1.8.1.) I've got the following enum: export enum MotifIntervention { Intrusion, ...",checkout this enum-for package
674,How do I express a date type in TypeScript?,"How do I express dates in TypeScript? Dates aren't a TypeScript type, so do I use any or object? Seems like there would be a ""right"" way to do: let myDate: any = new Date(); I couldn't find much on ...",JS types work in TS.
675,Typescript: Type 'string | undefined' is not assignable to type 'string',"When I make any property of an interface optional, I get an error like the following while assigning its member to some other variable: TS2322: Type 'string | undefined' is not assignable to type '...",That's exactly what I was looking for!
676,Check if value exists in enum in TypeScript,"I recieve a number type = 3 and have to check if it exists in this enum: export const MESSAGE_TYPE = { INFO: 1, SUCCESS: 2, WARNING: 3, ERROR: 4, }; The best way I found is by ...",if(Object.values(MESSAGE_TYPE).includes(+type)? There's not much you can do.
677,Defining array with multiple types in TypeScript,"I have an array of the form: [ 1, ""message"" ]. How would I define this in TypeScript?","Similar question to this one, with no answer, but this time using class inheritance with unknown number of items and all extending the same class: stackoverflow.com/questions/50322488/…"
678,TypeScript function overloading,Section 6.3 of the TypeScript language spec talks about function overloading and gives concrete examples on how to implement this. However if I try something like this: export class LayerFactory { ...,Possible duplicate of Method overloading?
679,How can I define an array of objects?,"I am creating an array of objects in TypeScript: userTestStatus xxxx = { ""0"": { ""id"": 0, ""name"": ""Available"" }, ""1"": { ""id"": 1, ""name"": ""Ready"" }, ""2"": { ""id"": 2, ""name"": ""Started"" } }; ...","Also you can declare an array of objects this way: let someArray: Array<{ id: number, name: string }> = []"
680,Declare and initialize a Dictionary in Typescript,"Given the following code interface IPerson { firstName: string; lastName: string; } var persons: { [id: string]: IPerson; } = { ""p1"": { firstName: ""F1"", lastName: ""L1"" }, ""p2"": { ...","Note: this has since been fixed (not sure which exact TS version). I get these errors in VS, as you would expect: Index signatures are incompatible. Type '{ firstName: string; }' is not assignable to type 'IPerson'. Property 'lastName' is missing in type '{ firstName: string; }'."
681,Typescript Type 'string' is not assignable to type,"Here's what I have in fruit.ts export type Fruit = ""Orange"" | ""Apple"" | ""Banana"" Now I'm importing fruit.ts in another typescript file. Here's what I have myString:string = ""Banana""; myFruit:Fruit ...","nice one :) in most cases const myFruit: Fruit = ""Banana"" would do."
682,Hide .js.map files in Visual Studio Code,I am working on a typescript project in Visual Studio code and would like to hide the .js.map (and maybe even the .js) files from appearing in the file explorer. Is it possible to display only the ....,"Perfect solution. To add on, I suspect many users interested in this will also be interested in hiding the node_modules directory. That can be done like so: ""**/node_modules/"": true"
683,Exception: Can't bind to 'ngFor' since it isn't a known native property,"What am I doing wrong? import {bootstrap, Component} from 'angular2/angular2' @Component({ selector: 'conf-talks', template: `<div *ngFor=""talk of talks""> {{talk.title}} by {{talk....","What exactly is the ampersand for? I fixed my own issues, but I am unsure of what this even does."
684,Element implicitly has an 'any' type because expression of type 'string' can't be used to index,Trying out TypeScript for a React project and I'm stuck on this error: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ train_1: boolean; ...,"this show ""Type 'any' is not assignable to type 'never"" error"
685,TypeScript and field initializers,"How to init a new class in TS in such a way (example in C# to show what I want): // ... some code before return new MyClass { Field1 = ""ASD"", Field2 = ""QWE"" }; // ... some code ...","The ""solution"" you just appended to your question is not valid TypeScript or JavaScript. But it is valuable to point out that it is the most intuitive thing to try."
686,Angular 2 @ViewChild annotation returns undefined,I am trying to learn Angular 2. I would like to access to a child component from a parent component using the @ViewChild Annotation. Here some lines of code: In BodyContent.ts I have: import { ...,"Looks correct. Maybe something with the template, but it isn't included in your question."
687,Create an enum with string values,"Following code can be used to create an enum in TypeScript: enum e { hello = 1, world = 2 }; And the values can be accessed by: e.hello; e.world; How do I create an enum with string ...",heads up Singleton types under the form of string literal types #1003 should solve this
688,How to generate components in a specific folder with Angular CLI?,I am using Angular 4 with Angular CLI and I am able to create a new component with the following command. E:\HiddenWords>ng generate component plainsight But I need to generate a child component ...,ng generate component your/path/from/the/app/folder/plainsight
689,How to use `@ts-ignore` for a block?,The // @ts-ignore comment enables the TypeScript compiler to ignore the line below it. How can one ignore a whole block of code with TypeScript?,"Not even @ts-ignore works on a single line in typescript 2.4.2. I upgraded to ""typescript"": ""2.6.1"" and then it worked."
690,WebStorm/PhpStorm double quotes in TypeScript auto import,"I'm using TypeScript style with single quotes, double quotes are used exclusively in HTML templates. WebStorm/PhpStorm auto import adds import statements with double quotes and ruins the style. I ...","Like any other language in any JetBrains tool, alter the code style settings in your preferences."
691,How can I generate a tsconfig.json file?,"How can I generate a tsconfig.json via the command line? I tried command tsc init, but this doesn't work.","if, like me, this didn't quite work for you - try the solution provided in this answer: stackoverflow.com/a/32532656/1732184 Cheers!"
692,How to pass url arguments (query string) to a HTTP request on Angular?,"I would like to trigger HTTP request from an Angular component, but I do not know how to add URL arguments (query string) to it. this.http.get(StaticSettings.BASE_URL).subscribe( (response) => ...",stackoverflow.com/questions/26541801/… refer this. Create URL before call and pass it to subscribe function in place of BASE_URL. 2cents
693,Typescript: TS7006: Parameter 'xxx' implicitly has an 'any' type,"In testing my UserRouter, I am using a json file data.json [ { ""id"": 1, ""name"": ""Luke Cage"", ""aliases"": [""Carl Lucas"", ""Power Man"", ""Mr. Bulletproof"", ""Hero for Hire""], ""occupation""...",Can you show us your tsconfig? By the look of it you have noImplicitAny enabled and that is what causing the error.
694,Exclude property from type,I'd like to exclude a single property from the type. How can I do that? For example I have interface XYZ { x: number; y: number; z: number; } And I want to exclude property z to get type XY = { ...,"Great! You are declaring Diff<T, U> (with T and U as types available for keys) as a T-keyed subset of an intersection of 3 types: type with key same as a value for T, type with never for U and type with never for all keys. Then you pass it through indexer to get correct values types. Am I right?"
695,Typescript input onchange event.target.value,"In my react and typescript app, I use: onChange={(e) => data.motto = (e.target as any).value} How do I correctly define the typings for the class, so I wouldn't have to hack my way around the type ...",This simply does not work. value is not a property of the interface EventTarget
696,Cannot use JSX unless the '--jsx' flag is provided,"I have looked around a bit for a solution to this problem. All of them suggest adding ""jsx"": ""react"" to your tsconfig.json file. Which I have done. Another one was to add ""include: []"", which I have ...","It's unclear what the problem is. babel 7 to compile all the code with the env, react and typescript presets - why are there both Babel and TS and how are they related? I am still getting the error - which one? ""jsx"": ""react"" - Note: The identifier React is hard-coded, so you must make React available with an uppercase R"
697,"Angular @ViewChild() error: Expected 2 arguments, but got 1","When trying ViewChild I am getting the error. Error is ""An argument for 'opts' was not provided."" Both @ViewChild is giving the error. import { Component, OnInit, ElementRef, ViewChild, Output, ...",What is in line 11 ?
698,Angular File Upload,"I'm a beginner with Angular, I want to know how to create Angular 5 File upload part, I'm trying to find any tutorial or doc, but I don't see anything anywhere. Any idea for this? And I tried ng4-...",so do u want drag and drop or simple Choose File btn upload ? Bdw in both cases u simply upload using FormData
699,"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?",What is the difference between Android units of measure? px dip dp sp,"this is use full difference between px, dip, dp and sp in android [ developer.android.com/guide/topics/resources/…"
700,How to close/hide the Android soft keyboard programmatically?,"I have an EditText and a Button in my layout. After writing in the edit field and clicking on the Button, I want to hide the virtual keyboard when touching outside the keyboard. I assume that this is ...","What if you have only one EditText and several buttons, like check boxes and radios? The only place you need the keyboard is in the single EditText. How do you register to know that something else was chosen/clicked in order to hide the keyboard?"
701,Proper use cases for Android UserManager.isUserAGoat()?,I was looking at the new APIs introduced in Android 4.2. While looking at the UserManager class I came across the following method: public boolean isUserAGoat() Used to determine whether the ...,"If can be used to avoid some Java warning, as an easter egg, and as a test to see who read the API. And it's a reference to an easter egg in Chrome."
702,Why is the Android emulator so slow? How can we speed up the Android emulator? [closed],"I have got a 2.67  GHz Celeron processor, and 1.21  GB of RAM on a x86 Windows XP Professional machine. My understanding is that the Android Emulator should start fairly quickly on such a machine, but ...",Alternate is Genymotion. genymotion.com. This is much mcuh faster. Straightforward installation.
703,How to stop EditText from gaining focus at Activity startup in Android,"I have an Activity in Android, with two elements: EditText ListView When my Activity starts, the EditText immediately has input focus (flashing cursor). I don't want any control to have input focus ...","What about setting the parent layout to android:focusableInTouchMode=""true""!"
704,Is there a unique Android device ID?,"Do Android devices have a unique ID, and if so, what is a simple way to access it using Java?",If you're using ANDROID_ID be sure to read this answer and this bug.
705,How can I save an activity state using the save instance state?,"I've been working on the Android SDK platform, and it is a little unclear how to save an application's state. So given this minor re-tooling of the 'Hello, Android' example: package com.android.hello; ...",When is savedInstanceState == null and when is it not null ?
706,How can I fix 'android.os.NetworkOnMainThreadException'?,I got an error while running my Android project for RssReader. Code: URL url = new URL(urlToRssFeed); SAXParserFactory factory = SAXParserFactory.newInstance(); SAXParser parser = factory....,Read this blog post on the NetworkOnMainThreadException for more information. It explains why this occurs on Android 3.0 and above.
707,How do I center text horizontally and vertically in a TextView?,"How do I center the text horizontally and vertically in a TextView, so that it appears exactly in the middle of the TextView in Android?","set both layout_width and layout_height to fill_parent, then set gravity to center. That'll do the trick"
708,What is 'Context' on Android?,"In Android programming, what exactly is a Context class and what is it used for? I read about it on the developer site, but I am unable to understand it clearly.",Related to this question
709,Is there a way to run Python on Android?,"We are working on an S60 version and this platform has a nice Python API.. However, there is nothing official about Python on Android, but since Jython exists, is there a way to let the snake and the ...","If you use Kivy, here is a tool to help package your project into an APK: github.com/kivy/python-for-android"
710,How to lazy load images in ListView in Android,"I am using a ListView to display some images and captions associated with those images. I am getting the images from the Internet. Is there a way to lazy load images so while the text displays, the UI ...",You can use GreenDroid's AsyncImageView. Just call setUrl.
711,"""Debug certificate expired"" error in Eclipse Android plugins","I am using Eclipse Android plugins to build a project, but I am getting this error in the console window: [2010-02-03 10:31:14 - androidVNC]Error generating final archive: Debug certificate expired ...",Can someone tell why does this happen?
712,How to get screen dimensions as pixels in Android,"I created some custom elements, and I want to programmatically place them to the upper right corner (n pixels from the top edge and m pixels from the right edge). Therefore I need to get the screen ...",Use dp instead of px. because it will distort your layout with other devices..
713,How can I open a URL in Android's web browser from my application?,"How to open an URL from code in the built-in web browser rather than within my application? I tried this: try { Intent myIntent = new Intent(Intent.ACTION_VIEW, Uri.parse(download_link)); ...",I think it's because of this: android-developers.blogspot.com/2009/12/…
714,Android 8: Cleartext HTTP traffic not permitted,I had reports from users with Android 8 that my app (that uses back-end feed) does not show content. After investigation I found following Exception happening on Android 8: 08-29 12:03:11.246 11285-...,This happens on an app I maintain because the server redirects from HTTPS to HTTP in some instances.
715,How can you get the build/version number of your Android application?,I need to figure out how to get or make a build number for my Android application. I need the build number to display in the UI. Do I have to do something with AndroidManifest.xml?,"Not sure, but i think you can get it by parsing AndroidManifest.xml file."
716,How do I pass data between Activities in Android application?,"I have a scenario where, after logging in through a login page, there will be a sign-out button on each activity. On clicking sign-out, I will be passing the session id of the signed in user to sign-...",i used sharedpreference its useful also to keep login data on remeber password feature
717,What is the difference between match_parent and fill_parent?,I'm a little confused about two XML properties: match_parent and fill_parent. It seems that both are the same. Is there any difference between them?,if you feel free developer.android.com/reference/android/view/…
718,Activity restart on rotation Android,"In my Android application, when I rotate the device (slide out the keyboard) then my Activity is restarted (onCreate is called). Now, this is probably how it's supposed to be, but I do a lot of ...",There is a rather complete explanation on how to retain long-running asynchronous tasks during activity configuration changes in this blog post too!
719,What is the difference between gravity and layout_gravity in Android?,"I know we can set the following values to the android:gravity and android:layout_gravity properties: center center_vertical center_horizontal, etc. But I am confused regarding both of these. What ...","Easy trick to remember: Take ""layout-gravity"" as ""Lay-outside-gravity"""
720,Hex transparency in colors [duplicate],I'm working on implementing a widget transparency option for my app widget although I'm having some trouble getting the hex color values right. Being completely new to hex color transparency I ...,"Android Material Design: 100%: FF, 87%: DE, 70%: B3, 54%: 8A, 50%: 80, 38%: 61, 12%: 1F"
721,Is there a way to get the source code from an APK file?,The hard drive on my laptop just crashed and I lost all the source code for an app that I have been working on for the past two months. All I have is the APK file that is stored in my email from when ...,FYI There is online decompiler check here
722,Strange OutOfMemory issue while loading an image to a Bitmap object,"I have a ListView with a couple of image buttons on each row. When the user clicks the list row, it launches a new activity. I have had to build my own tabs because of an issue with the camera layout. ...",I solved this by avoiding Bitmap.decodeStream or decodeFile and using BitmapFactory.decodeFileDescriptor method.
723,'Must Override a Superclass Method' Errors after importing a project into Eclipse,"Anytime I have to re-import my projects into Eclipse (if I reinstalled Eclipse, or changed the location of the projects), almost all of my overridden methods are not formatted correctly, causing the ...","Please check this item, it explains the use of override. I believe this practice is very important for everything not only for this situation in particularly. stackoverflow.com/questions/94361/…"
724,Activity has leaked window that was originally added,"What is this error, and why does it happen? 05-17 18:24:57.069: ERROR/WindowManager(18850): Activity com.mypkg.myP has leaked window com.android.internal.policy.impl.PhoneWindow$DecorView@44c46ff0 ...",The other classic is when orientation changes: stackoverflow.com/questions/1111980/…
725,How to get current time and date in Android,How can I get the current time and date in an Android app?,"43 answers! While many of them were good when they were written, the good answer to use in 2018 is here."
726,Run/install/debug Android applications over Wi-Fi?,I thought there was a way to test your applications in development over Wi-Fi. Is this possible? I'd love to be able to untether my phone and develop wirelessly.,"Not to mention, if you need to debug an app that communicates with a USB-attached device."
727,Android SDK installation doesn't find JDK,"I'm trying to install the Android SDK on my Windows 7 x64 System. jdk-6u23-windows-x64.exe is installed, but the Android SDK setup refuses to proceed because it doesn't find the JDK installation. ...","What do you mean by ""the Android-SDK-Setup refuses to proceed""? AFAIK, installing android-sdk_r07-windows.zip is simply unzipping it to a folder (e.g. C:\android-sdk-windows) and appending that folder to the %PATH% environment variable. Please clarify, so that we can help you better."
728,Is quitting an application frowned upon?,"Moving on in my attempt to learn Android, I just read the following: Question: Does the user have a choice to kill the application unless we put a menu option in to kill it? If no such option ...","Well, you can put this together with another quirk of android and partake of fun and profit. When I first did a network call on Android my app crash-quit instantly because ""main thread"" hehe. So, the way for you to really quit the application is just do a network call on the main thread haha .. or many of the other things that Android frowns upon lol"
729,"How do I ""select Android SDK"" in Android Studio?","After a successful import of an Eclipse-Android-Project into ""Android Studio 1.4"", I get the error ""Please select Android SDK"" when I click on the button to run the application in simulator, but ...",Android Studio 4.0.1: File > Project structure (Ctrl+Alt+Shif+S) > Problems > Library %s is not used [Fix]
730,How do I display an alert dialog on Android?,"I want to display a dialog/popup window with a message to the user that shows ""Are you sure you want to delete this entry?"" with one button that says 'Delete'. When Delete is touched, it should delete ...",Here you are : developer.android.com/guide/topics/ui/dialogs.html
731,findViewById in Fragment,"I am trying to create an ImageView in a Fragment which will refer to the ImageView element which I have created in the XML for the Fragment. However, the findViewById method only works if I extend an ...","Use ButterKnife viewbinding library for android. Also demonstrate how it’s work, how to integrate and use in your android app development to make your development faster."
732,Fling gesture detection on grid layout,I want to get fling gesture detection working in my Android application. What I have is a GridLayout that contains 9 ImageViews. The source can be found here: Romain Guys's Grid Layout. That file I ...,How to solve this problem? Please answer stackoverflow.com/questions/60464912/…
733,You need to use a Theme.AppCompat theme (or descendant) with this activity,"Android Studio 0.4.5 Android documentation for creating custom dialog boxes: http://developer.android.com/guide/topics/ui/dialogs.html If you want a custom dialog, you can instead display an ...","@Raghunandan, I am new to this but looking at my styles I have the following: <style name=""AppTheme"" parent=""Theme.AppCompat.Light.DarkActionBar""> And I have the following imports: import android.support.v7.app.ActionBarActivity; import android.support.v7.app.ActionBar; import android.support.v4.app.Fragment; But not sure what all this means."
734,Can't create handler inside thread that has not called Looper.prepare(),"What does the following exception mean; how can I fix it? This is the code: Toast toast = Toast.makeText(mContext, ""Something"", Toast.LENGTH_SHORT); This is the exception: java.lang....","check this library compile 'com.shamanland:xdroid-toaster:0.0.5', it doesn't require runOnUiThread() or Context variable, all routine is gone! just invoke Toaster.toast(R.string.my_msg); here is the example: github.com/shamanland/xdroid-toaster-example"
735,"Android ""Only the original thread that created a view hierarchy can touch its views.""","I've built a simple music player in Android. The view for each song contains a SeekBar, implemented like this: public class Song extends Activity implements OnClickListener,Runnable { private ...","worked like a charm. for me the only problem here is that I wanted to do an error.setText(res.toString()); inside the run() method, but I couldn't use the res because it wasn't final.. too bad"
736,R cannot be resolved - Android error,I just downloaded and installed the new Android SDK. I wanted to create a simple application to test drive it. The wizard created this code: package eu.mauriziopz.gps; import android.app.Activity; ...,For those who still experience some problem with eclipse not being able to update/generate R.java. A possible solution is by creating a dummy xml and just delete that xml. In my case this is the solution
737,"Download a file with Android, and showing the progress in a ProgressDialog",I am trying to write a simple application that gets updated. For this I need a simple function that can download a file and show the current progress in a ProgressDialog. I know how to do the ...,I hope below link may be help you... androidhive.info/2012/04/…
738,How to make links in a TextView clickable,"I have the following TextView defined: <TextView android:layout_width=""wrap_content"" android:layout_height=""wrap_content"" android:text=""@string/txtCredits"" ...","android:autoLink=""web"" this is the main line needs to be added to xml and it works like charm. thanks @Richard"
739,How to manage startActivityForResult on Android,"In my activity, I'm calling a second activity from the main activity by startActivityForResult. In my second activity, there are some methods that finish this activity (maybe without a result), ...",possible duplicate of How to return a result (startActivityForResult) from a TabHost Activity?
740,How to add dividers and spaces between items in RecyclerView,"This is an example of how it could have been done previously in the ListView class, using the divider and dividerHeight parameters: <ListView android:id=""@+id/activity_home_list_view"" ...",This helped me: stackoverflow.com/questions/26892296/…
741,Static way to get 'Context' in Android?,Is there a way to get the current Context instance inside a static method? I'm looking for that way because I hate saving the 'Context' instance each time it changes.,"Not saving Context is a good idea not just because it is inconvenient, but more because it can lead to huge memory leaks!"
742,Android Studio: Add jar as library?,I'm trying to use the new Android Studio but I can't seem to get it working correctly. I'm using the Gson library to serialize/deserialize JSON-objects. But the library somehow isn't included in the ...,Refer : stackoverflow.com/a/6859020/28557
743,How to convert a Drawable to a Bitmap?,"I would like to set a certain Drawable as the device's wallpaper, but all wallpaper functions accept Bitmaps only. I cannot use WallpaperManager because I'm pre 2.1. Also, my drawables are downloaded ...",codingaffairs.blogspot.com/2016/06/…
744,How do I rotate the Android emulator display? [duplicate],How can I rotate the Android emulator display to see it in landscape mode?,"Things have changed quite a bit since this was asked, please see this page"
745,How to check if a service is running on Android?,How do I check if a background service is running? I want an Android activity that toggles the state of the service -- it lets me turn it on if it is off and off if it is on.,Check out this german guide.
746,Can't start Eclipse - Java was started but returned exit code=13,"I am trying to get my first taste of Android development using Eclipse. I ran into this problem when trying to run Eclipse, having installed version 4.2 only minutes ago. After first trying to start ...","""Program Files (x86)"" is where Windows tends to put 32-bit stuff these days. I'm not sure exactly how to check your java version, but you can always uninstall and download it fresh."
747,Why doesn't RecyclerView have onItemClickListener()?,I was exploring RecyclerView and I was surprised to see that RecyclerView does not have onItemClickListener(). I've two question. Main Question I want to know why Google removed onItemClickListener(...,For your code to work you need to add itemLayoutView.setOnClickListener(this); in the ViewHolder constructor.
748,How can I disable landscape mode in Android?,How can I disable landscape mode for some of the views in my Android app?,Are you essentially trying to disable the auto-rotate feature. Try setting your preferred orientation in your portrait views? http://code.google.com/android/reference/android/R.styleable.html#AndroidManifestActivity_screenOrientation
749,"What's ""tools:context"" in Android layout files?","Starting with a recent new version of ADT, I've noticed this new attribute on the layout XML files, for example: <LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"" xmlns:...","yes , i wonder what else have i missed (without seeing it in the ""what's new"" sections) since i always install the latest of the latest adt&sdk versions (currently using adt&sdk 20 preview 3) ."
750,Place cursor at the end of text in EditText,I am changing the value of an EditText on keyListener. But when I change the text the cursor is moving to the beginning of the EditText. I need the cursor to be at the end of the text. How to move ...,"I came across the same issue. But what I asked myself better is why this is happening, so that I could resolve the issue before instead of having to move the caret myself."
751,How to create RecyclerView with multiple view types,From Create dynamic lists with RecyclerView: When we create a RecyclerView.Adapter we have to specify ViewHolder that will bind with the adapter. public class MyAdapter extends RecyclerView.Adapter<...,"On top of Anton's answer, see my answer here: stackoverflow.com/questions/25914003/…"
752,Ship an application with a database,"If your application requires a database and it comes with built in data, what is the best way to ship that application? Should I: Precreate the SQLite database and include it in the .apk? Include the ...",stackoverflow.com/questions/9109438/…
753,How do I create a transparent Activity on Android?,I want to create a transparent Activity on top of another activity. How can I achieve this?,Can you tell us what is the use of the transparent activity
754,onActivityResult is not being called in Fragment,The activity hosting this fragment has its onActivityResult called when the camera activity returns. My fragment starts an activity for a result with the intent sent for the camera to take a picture. ...,"check this post, there is problem description and common workaround solution: stackoverflow.com/questions/6147884/…"
755,Auto Scale TextView Text to Fit within Bounds,I'm looking for an optimal way to resize wrapping text in a TextView so that it will fit within its getHeight and getWidth bounds. I'm not simply looking for a way to wrap the text- I want to make ...,"I also tried using the getEllipsisCount in StaticLayout to detect when text was going out of bounds, but that wasn't working for me, I had asked about that too: stackoverflow.com/questions/5084647/…"
756,How to hide the title bar for an Activity in XML with existing custom theme,"I want to hide the titlebar for some of my activities. The problem is that I applied a style to all my activities, therefore I can't simply set the theme to @android:style/Theme.NoTitleBar. Using ...","Great answer. You don't have to do both though, removing the notification bar may be overkill."
757,"How to set TextView textStyle such as bold, italic","How to set TextView style (bold or italic) within Java and without using the XML layout? In other words, I need to write android:textStyle with Java.",To remove the style can be used Typeface.NORMAL
758,Converting pixels to dp,I have created my application with the height and width given in pixels for a Pantech device whose resolution is 480x800. I need to convert height and width for a G1 device. I thought converting it ...,"If you're looking to do a one-off conversion (for instance for exporting sprites from Photoshop), here's a nifty converter."
759,"""Conversion to Dalvik format failed with error 1"" on external JAR",In my Android application in Eclipse I get the following error. UNEXPECTED TOP-LEVEL EXCEPTION: java.lang.IllegalArgumentException: already added: Lorg/xmlpull/v1/XmlPullParser; .... ...,This acticle may help you to fix this error in case that you use library project in your workspace.
760,How to send an object from one Android Activity to another using Intents?,How can I pass an object of a custom type from one Activity to another using the putExtra() method of the class Intent?,"@UMMA - you don't need to keep marking your questions as ""Community Wiki"". Have a look here: meta.stackexchange.com/questions/11740/…"
761,How can I connect to Android with ADB over TCP? [closed],"I am attempting to debug an application on a Motorola Droid, but I am having some difficulty connecting to the device via USB. My development server is a Windows 7 64-bit VM running in Hyper-V, and so ...","When connected via USB: adb tcpip 5555. Disconnect USB, view phone IP from Settings > About Phone > Status. Now adb connect 192.168.x.x and that's it. No tools, no software. Just Works."
762,How to call a method after a delay in Android,I want to be able to call the following method after a specified delay. In objective c there was something like: [self performSelector:@selector(DoSomething) withObject:nil afterDelay:5]; Is there ...,"This solution is usefull only on UI thread. Otherwise on normal thread, you need to implement looper which is not the best version I think"
763,Making TextView scrollable on Android,I am displaying text in a TextView that appears to be too long to fit into one screen. I need to make my TextView scrollable. How can I do that? Here is the code: final TextView tv = new TextView(this)...,"But surely maxLines requires you to enter an arbitrary number; this isn't something that will work for every screen size and font size? I find it simpler to just wrap it with a ScrollView, meaning I don't have to add any further XML attributes or code (like setting the movement method)."
764,android.os.FileUriExposedException: file:///storage/emulated/0/test.txt exposed beyond app through Intent.getData(),"The app is crashing when I'm trying to open a file. It works below Android Nougat, but on Android Nougat it crashes. It only crashes when I try to open a file from the SD card, not from the system ...","I feel like this was a mistake which makes life unnecessarily difficult for app developers. Having to bundle a ""FileProvider"" and ""authority"" with each app, seems like Enterprisey boilerplate. Having to add a flag to every file intent seems awkward and possibly unnecessary. Breaking the elegant concept of ""paths"" is unpleasant. And what's the benefit? Selectively granting storage access to apps (while most apps have full sdcard access, especially ones that work on files)?"
765,How to pass an object from one activity to another on Android,I am trying to work on sending an object of my customer class from one Activity and display it in another Activity. The code for the customer class: public class Customer { private String ...,"I used to set object to Pacelable or Serializable, but whenever I add other variables, I have to add it all to functions to get and set for Pacelable or Serializable. so I made DataCache to transfer between activities and fragments. github.com/kimkevin/AndroidDataCache It's super easy to transfer object."
766,How to display HTML in TextView?,I have simple HTML: <h2>Title</h2><br> <p>description here</p> I want to display HTML styled text it in TextView. How to do this?,Do you want to display the tags or omit them?
767,Unfortunately MyApp has stopped. How can I solve this?,"I am developing an application, and everytime I run it, I get the message: Unfortunately, MyApp has stopped. What can I do to solve this? About this question - obviously inspired by What is a ...","I've seen many questions getting closed as dupes with this. This is a good reference for helping people post relevant data in their questions. However, this isn't a duplicate of any root problem there but just methodology for digging out the root problem. I think it would be better just to provide the link to this question as a reference and not close as duplicate."
768,Dilemma: when to use Fragments vs Activities:,"I know that Activities are designed to represent a single screen of my application, while Fragments are designed to be reusable UI layouts with logic embedded inside of them. Until not long ago, I ...",Check out my post at SO - stackoverflow.com/questions/24647078/…
769,What is the simplest and most robust way to get the user's current location on Android?,The LocationManager API on Android seems like it's a bit of a pain to use for an application that only needs an occasional and rough approximation of the user's location. The app I'm working on isn't ...,"You could use a simple library that abstracts away all the things that must happen ""under the hood"": github.com/delight-im/Android-SimpleLocation"
770,How do I get extra data from intent on Android?,"How can I send data from one activity (intent) to another? I use this code to send data: Intent i=new Intent(context,SendMessage.class); i.putExtra(""id"", user.getUserAccountId()+""""); i.putExtra(""...","Java side note: It is never a good idea to ""stringify"" integer like that (especially for example purposes), and unfortunately it is frequently considered a good, quick way to convert int to string in java: user.getUserAccountId()+"""", as this would create unnecessary objects to be collected. Consider using String.valueOf(user.getUserAccountId), or Integer.toString(user.getUserAccountId) instead."
771,Sending an Intent to browser to open specific URL [duplicate],I'm just wondering how to fire up an Intent to the phone's browser to open an specific URL and display it. Can someone please give me a hint?,"In production level code, you may like to check if the url begins with http or https... Would be better to check if (!url.startsWith(""http://"") && !url.startsWith(""https://"")) url = ""http://"" + url;"
772,How to avoid reverse engineering of an APK file,"I am developing a payment processing app for Android, and I want to prevent a hacker from accessing any resources, assets or source code from the APK file. If someone changes the .apk extension to ....","It sounds like you may be using ""security by obscurity"" if your payment processing scheme relies on the operation of the client remaining secret."
773,Android getResources().getDrawable() deprecated API 22,With new android API 22 getResources().getDrawable() is now deprecated. Now the best approach is to use only getDrawable(). What changed?,"Could you specify your question? It is right that the method getDrawable (int id) of the class Resources is deprecated. You should now use the method getDrawable (int id, Resources.Theme theme) with the new theme parameter."
774,How do I discover memory usage of my application in Android?,"How can I find the memory used on my Android application, programmatically? I hope there is a way to do it. Plus, how do I get the free memory of the phone too?",Or if anyone want to know more about all this then please refer http://elinux.org/Android_Memory_Usage
775,How do I add a library project to Android Studio?,"How do I add a library project (such as Sherlock ABS) to Android Studio? (Not to the old ADT Eclipse-based bundle, but to the new Android Studio.)",yeah figuring this out was way more confusing than it should have been... not like it was any better in eclipse.
776,Service vs IntentService in the Android platform,I am seeking an example of something that can be done with an IntentService that cannot be done with a Service (and vice-versa)? I also believe that an IntentService runs in a different thread and a ...,IntentService is used for short tasks (etc) and a service is for long ones where did you read that ?
777,How to determine when Fragment becomes visible in ViewPager,"Problem: Fragment onResume() in ViewPager is fired before the fragment becomes actually visible. For example, I have 2 fragments with ViewPager and FragmentPagerAdapter. The second fragment is only ...","""i have 2 fragment with ViewPager and FragmentPagerAdapter. The second fragment can be available for authorized users only and i should ask use to login when the fragment becomes visible (alert dialog)."" -- IMHO, that is awful UX. Popping up a dialog because the user swiped horizontally would cause me to give you a one-star rating on the Play Store."
778,How to change fontFamily of TextView in Android,So I'd like to change the android:fontFamily in Android but I don't see any pre-defined fonts in Android. How do I select one of the pre-defined ones? I don't really need to define my own TypeFace but ...,check out this link stackoverflow.com/questions/2376250/…
